iter	Logloss
242	0.4938819695
243	0.4937686157
244	0.4935926247
245	0.4934181633
246	0.4933349113
247	0.4932195625
248	0.4931269989
249	0.4930400658
250	0.4928697662
251	0.4927151146
252	0.4925935593
253	0.4925044518
254	0.4923673859
255	0.4922184372
256	0.4920779495
257	0.4920107307
258	0.4918813858
259	0.4917671814
260	0.4916892738
261	0.4916063156
262	0.4915589752
263	0.4914132614
264	0.4913354683
265	0.4911879234
266	0.4910345078
267	0.4909236107
268	0.4908362427
269	0.4907022095
270	0.4906243401
271	0.4904270897
272	0.4902946053
273	0.4901989975
274	0.4901009102
275	0.4899993248
276	0.4899289169
277	0.4898231773
278	0.4896841431
279	0.4895467415
280	0.4894455566
281	0.4893257751
282	0.4892126656
283	0.4891061058
284	0.4890170555
285	0.4888985939
286	0.4887917709
287	0.4886801796
288	0.4886011429
289	0.4884530334
290	0.4883891754
291	0.4882703362
292	0.4881687851
293	0.4880784492
294	0.4879613152
295	0.4878240891
296	0.487701828
297	0.487632618
298	0.4875384331
299	0.4874507027
300	0.4873549194
301	0.4872467461
302	0.4871236916
303	0.4870546303
304	0.4869509964
305	0.4868655663
306	0.486711956
307	0.4866375427
308	0.4865701256
309	0.4864008522
310	0.4863430519
311	0.4862554741
312	0.4861010208
313	0.4860243607
314	0.4859334068
315	0.4858015556
316	0.4857205582
317	0.4856166649
318	0.4855133476
319	0.4853896446
320	0.4852923737
321	0.4852196159
322	0.4851152763
323	0.4850437355
324	0.4849290771
325	0.48487146
326	0.4848065033
327	0.4847080078
328	0.4846406364
329	0.4845833054
330	0.4844809608
331	0.4843887825
332	0.4842822571
333	0.4841556702
334	0.4840307465
335	0.4839215775
336	0.4838224564
337	0.4837640648
338	0.4836115112
339	0.4835380478
340	0.4834754143
341	0.4833964844
342	0.4833135262
343	0.4832254715
344	0.4830738258
345	0.482995491
346	0.4828882751
347	0.4828028984
348	0.4827190704
349	0.4826425972
350	0.4825228386
351	0.4824450874
352	0.4823528175
353	0.4822308655
354	0.4821416435
355	0.482054512
356	0.4819322205
357	0.4818085709
358	0.4817279282
359	0.4816666183
360	0.4815606766
361	0.4814563904
362	0.4813529167
363	0.4812836723
364	0.481204998
365	0.4811474419
366	0.4810601311
367	0.4809570923
368	0.4808712997
369	0.48079422
370	0.4807024956
371	0.4806120987
372	0.4805315247
373	0.4803950958
374	0.4803397102
375	0.4803011017
376	0.4802078972
377	0.4801207352
378	0.4800186577
379	0.4799047775
380	0.4798546181
381	0.4797424583
382	0.4796434631
383	0.4795331421
384	0.4794327621
385	0.479286274
386	0.4792148933
387	0.4791169968
388	0.4790373077
389	0.4788890114
390	0.4788382721
391	0.4787969666
392	0.4787381477
393	0.4786247101
394	0.4784809952
395	0.4783628006
396	0.4782407684
397	0.4781270828
398	0.4780771217
399	0.4779992218
400	0.4778352585
401	0.4777616692
402	0.4776775551
403	0.4775463486
404	0.477472702
405	0.4774070892
406	0.4773457298
407	0.4772674179
408	0.4771908951
409	0.4771111526
410	0.4770259018
411	0.4769566116
412	0.476876915
413	0.4767765808
414	0.4766516991
415	0.4765810127
416	0.4765025215
417	0.476376091
418	0.4762808838
419	0.4762341499
420	0.4761165848
421	0.4760560722
422	0.4759264069
423	0.4758343048
424	0.4757654037
425	0.475686821
426	0.4755668564
427	0.4754932022
428	0.4753877563
429	0.4752956352
430	0.4752165413
431	0.4751608925
432	0.4750960808
433	0.4750455017
434	0.4749676895
435	0.4748947525
436	0.4748480339
437	0.474780117
438	0.4746622467
439	0.4745794411
440	0.4744786377
441	0.4744132767
442	0.4743347702
443	0.4743114281
444	0.4742029076
445	0.4741290665
446	0.4740700302
447	0.4739936943
448	0.4739409981
449	0.4738777924
450	0.4738515739
451	0.4737474785
452	0.4736423149
453	0.4735228882
454	0.4734546204
455	0.4734013557
456	0.4732868576
457	0.4731901817
458	0.4731139412
459	0.4730447235
460	0.4729927635
461	0.4728992996
462	0.4727897034
463	0.4727203522
464	0.4726060181
465	0.4725201759
466	0.4724031601
467	0.4723286324
468	0.4722453918
469	0.4721657066
470	0.4721104546
471	0.4720298615
472	0.4719925728
473	0.471947731
474	0.4718503075
475	0.4717727852
476	0.4716769524
477	0.4716097183
478	0.4715082855
479	0.4714501152
480	0.4713637619
481	0.471275341
482	0.471179821
483	0.4710872955
484	0.4710048981
485	0.4709630241
486	0.4709102516
487	0.4708301773
488	0.4707623978
489	0.4706639633
490	0.4705914574
491	0.4704660263
492	0.4704211769
493	0.4703496513
494	0.4702732506
495	0.4701782532
496	0.4700889664
497	0.4700193748
498	0.4699398232
499	0.4698475876
500	0.4697917442
501	0.4697225571
502	0.4696437912
503	0.4695225029
504	0.4694466591
505	0.4693635521
506	0.4692767906
507	0.4691996689
508	0.4691305809
509	0.4690673599
510	0.4689999542
511	0.46893964
512	0.4688814545
513	0.4688474312
514	0.4687435875
515	0.4686686249
516	0.4685524597
517	0.4685070572
518	0.4684431152
519	0.4683805275
520	0.4682879829
521	0.4682088509
522	0.468147377
523	0.4680662956
524	0.4679885254
525	0.4679376221
526	0.4678489838
527	0.4677546082
528	0.4677042503
529	0.4676376801
530	0.4675578117
531	0.4674736557
532	0.4673900833
533	0.4672939568
534	0.4671916885
535	0.4671258049
536	0.4670654297
537	0.4670002632
538	0.4669179688
539	0.4668638268
540	0.4667854614
541	0.4666737747
542	0.4666039658
543	0.4665294952
544	0.4664651604
545	0.4663952103
546	0.4663078613
547	0.4662406425
548	0.4661337852
549	0.4660569839
550	0.4660012474
551	0.4659360733
552	0.4658349152
553	0.4657667618
554	0.4657018776
555	0.4656296196
556	0.4655200272
557	0.4654564552
558	0.4653868332
559	0.4653193588
560	0.4652551765
561	0.4651806602
562	0.465097908
563	0.4650357285
564	0.4649522057
565	0.4648928871
566	0.4647650681
567	0.4646726379
568	0.4646084518
569	0.4645359001
570	0.4644868698
571	0.4644206543
572	0.464320488
573	0.4642889061
574	0.4642272339
575	0.4641490288
576	0.4640765076
577	0.4640310936
578	0.4639380188
579	0.4638553352
580	0.4637724876
581	0.4636706085
582	0.463597126
583	0.4635283432
584	0.4634412155
585	0.4633844452
586	0.4632426834
587	0.4631604118
588	0.4630531197
589	0.46297929
590	0.4629036026
591	0.4628657684
592	0.4627867241
593	0.462718132
594	0.4626310654
595	0.4625571823
596	0.4624951134
597	0.462428154
598	0.4623883095
599	0.4623126488
600	0.4622272758
601	0.4621573296
602	0.462094883
603	0.4620115013
604	0.4619224091
605	0.4618592186
606	0.461764679
607	0.4617226257
608	0.4616764488
609	0.4616314163
610	0.4615581017
611	0.4614656258
612	0.4614079094
613	0.4613434181
614	0.4612529564
615	0.4612145615
616	0.4611670952
617	0.461113369
618	0.461053257
619	0.461017189
620	0.4609405327
621	0.460876461
622	0.4608013725
623	0.4607075119
624	0.4606097145
625	0.4605280075
626	0.4604606743
627	0.4603841515
628	0.4603196068
629	0.4602921448
630	0.4602294655
631	0.4601487465
632	0.4600526619
633	0.4599753838
634	0.4599063225
635	0.4598487091
636	0.4597482986
637	0.4596547089
638	0.4595542831
639	0.4595096436
640	0.4594501266
641	0.459386734
642	0.4593147507
643	0.4592781868
644	0.4591957054
645	0.4591111946
646	0.4590444412
647	0.4589629288
648	0.4589182701
649	0.4588472481
650	0.4587719955
651	0.4586760979
652	0.4586104088
653	0.4585295372
654	0.458439785
655	0.4583499832
656	0.4582901039
657	0.4582130928
658	0.4581420174
659	0.4580350304
660	0.4579800682
661	0.4579059219
662	0.4578271027
663	0.4577518044
664	0.4577132683
665	0.4576355972
666	0.4575678139
667	0.4575134888
668	0.4574525948
669	0.4573880119
670	0.4573401413
671	0.4572622528
672	0.4571936455
673	0.45710149
674	0.4570416145
675	0.4569924736
676	0.4568773613
677	0.4567994347
678	0.4567305984
679	0.4566873474
680	0.4566392403
681	0.456566246
682	0.4564834671
683	0.456386097
684	0.4563004303
685	0.4562416763
686	0.4561557121
687	0.4560930977
688	0.4560358429
689	0.4559660835
690	0.4559138947
691	0.4558356247
692	0.4557982559
693	0.4557363281
694	0.455679718
695	0.4556372528
696	0.4555913506
697	0.455521431
698	0.4554473228
699	0.4553728943
700	0.4553440514
701	0.45526968
702	0.4552293892
703	0.4551515961
704	0.4551085625
705	0.4550454407
706	0.4550005226
707	0.4549465637
708	0.4548801575
709	0.4548130989
710	0.4547730598
711	0.4546846504
712	0.454622448
713	0.4545611305
714	0.454493969
715	0.4544565392
716	0.4543920212
717	0.4542782631
718	0.4541865921
719	0.454126339
720	0.4540045891
721	0.4539582138
722	0.4539184456
723	0.4538406639
724	0.4537675705
725	0.4536842995
726	0.4535973244
727	0.4535208244
728	0.4534531097
729	0.4533408661
730	0.4532850037
731	0.4532241402
732	0.4531689224
733	0.4530914459
734	0.4530161514
735	0.4529585228
736	0.4528786659
737	0.4528289032
738	0.4527555389
739	0.4526737137
740	0.4526075096
741	0.4525309639
742	0.4525194168
743	0.4524750786
744	0.4524344444
745	0.4523989754
746	0.452328434
747	0.4522645683
748	0.4521863861
749	0.4521491318
750	0.4520639954
751	0.452006752
752	0.4519426003
753	0.4518390198
754	0.451789608
755	0.4517136459
756	0.4516646805
757	0.4516224518
758	0.451559185
759	0.4514873466
760	0.4513900909
761	0.4513381004
762	0.4512312965
763	0.4512023201
764	0.4511153069
765	0.4510536308
766	0.4509563904
767	0.4509245338
768	0.4508662567
769	0.450784874
770	0.4507255859
771	0.4506668816
772	0.4506158028
773	0.4505642319
774	0.4504656296
775	0.4503874664
776	0.4503225441
777	0.4502439117
778	0.4501746521
779	0.4501261826
780	0.4501002121
781	0.4500240746
782	0.4499688377
783	0.449905529
784	0.4498499298
785	0.4497566757
786	0.4496768036
787	0.4496006927
788	0.4495440102
789	0.4494734612
790	0.4494005241
791	0.449356163
792	0.4493030014
793	0.449211174
794	0.4491488152
795	0.4491164093
796	0.4490573044
797	0.4489827728
798	0.4489152107
799	0.4488534126
800	0.4487742691
801	0.4487194176
802	0.4486756592
803	0.4486178474
804	0.4485781555
805	0.4485099754
806	0.4484454613
807	0.4483624382
808	0.4482963257
809	0.4481754112
810	0.4481010208
811	0.4480535545
812	0.4479941559
813	0.4479262352
814	0.4478599968
815	0.4478267784
816	0.4477771645
817	0.4477284775
818	0.4477006683
819	0.4476742477
820	0.4476202774
821	0.4475532341
822	0.447545208
823	0.4474920845
824	0.447425396
825	0.4473622742
826	0.4472904739
827	0.4472236328
828	0.4471824226
829	0.4471379395
830	0.447076416
831	0.4470167503
832	0.4469664879
833	0.4469282761
834	0.4468608131
835	0.4468127289
836	0.4467725067
837	0.4467137184
838	0.4466079407
839	0.4465766106
840	0.4465196075
841	0.4464750214
842	0.4464316521
843	0.446379982
844	0.4463392715
845	0.4462719193
846	0.4462297096
847	0.4461449852
848	0.4460871201
849	0.4460352478
850	0.445959198
851	0.4458589592
852	0.44579216
853	0.445729187
854	0.4456434593
855	0.4455878181
856	0.4455180244
857	0.4454209251
858	0.4453577042
859	0.4452779198
860	0.4452344513
861	0.4451578789
862	0.4451086502
863	0.4450888863
864	0.4450316429
865	0.4449908218
866	0.4449364014
867	0.4448834
868	0.4448171158
869	0.4447690086
870	0.4446988297
871	0.4446180763
872	0.4445132942
873	0.4444593773
874	0.4444103851
875	0.4443349075
876	0.4442881203
877	0.4442297974
878	0.4441860962
879	0.4441489182
880	0.4441108475
881	0.4440665779
882	0.444013195
883	0.4439440994
884	0.4438826599
885	0.443843956
886	0.4437734108
887	0.4437126198
888	0.4436623764
889	0.4435854797
890	0.4435346222
891	0.4434755783
892	0.443427784
893	0.4433738632
894	0.4433191872
895	0.443256073
896	0.4431781044
897	0.4431469498
898	0.4431019249
899	0.4430597954
900	0.443016613
901	0.4429402428
902	0.4428389053
903	0.4427591209
904	0.4427011909
905	0.4426041412
906	0.4425492477
907	0.4424971542
908	0.4424419174
909	0.4423946342
910	0.4423060608
911	0.4422846489
912	0.4422140045
913	0.4421710663
914	0.4421073265
915	0.442049263
916	0.4419960632
917	0.4419382553
918	0.4418599129
919	0.4417954178
920	0.4417419014
921	0.4416948128
922	0.4416206093
923	0.4415528221
924	0.4415015678
925	0.4414341125
926	0.4413988647
927	0.4413502083
928	0.4412958221
929	0.4412586212
930	0.4412011414
931	0.4411580391
932	0.4410934563
933	0.4410742722
934	0.4410433159
935	0.4409846039
936	0.4409428902
937	0.4409141502
938	0.4408469124
939	0.4407467422
940	0.4406599312
941	0.4406047287
942	0.4405379105
943	0.4404830208
944	0.4404141502
945	0.4403581657
946	0.4402683983
947	0.4402305603
948	0.4401902351
949	0.4401194534
950	0.4400573769
951	0.4400143738
952	0.4399584923
953	0.4398663139
954	0.4397788277
955	0.4397103081
956	0.4396303215
957	0.4395772324
958	0.4395039024
959	0.4394005737
960	0.4393565598
961	0.4392813835
962	0.4392432327
963	0.4392007561
964	0.4391679382
965	0.4391192703
966	0.4390671844
967	0.4390306473
968	0.4389713593
969	0.4389151154
970	0.4388777504
971	0.4387824898
972	0.4387381935
973	0.4386542549
974	0.4385927429
975	0.4385383949
976	0.4384785194
977	0.4383965569
978	0.4383403816
979	0.4382659187
980	0.4382074089
981	0.4381567383
982	0.4380900574
983	0.4380084686
984	0.4379397049
985	0.4378969536
986	0.4378436661
987	0.4377753105
988	0.4377224731
989	0.4376667099
990	0.4376146469
991	0.4375311127
992	0.4374393616
993	0.4373879967
994	0.4373052559
995	0.437241993
996	0.4371743317
997	0.4371256676
998	0.4370710945
999	0.4370150261
