iter	Passed	Remaining
254	2982	8714
255	2995	8705
256	3004	8685
257	3013	8665
258	3022	8646
259	3033	8633
260	3048	8631
261	3066	8636
262	3074	8614
263	3083	8596
264	3091	8574
265	3101	8558
266	3114	8549
267	3123	8532
268	3134	8519
269	3144	8501
270	3152	8481
271	3163	8468
272	3173	8449
273	3183	8436
274	3193	8419
275	3200	8395
276	3212	8383
277	3219	8362
278	3231	8349
279	3238	8328
280	3248	8312
281	3256	8291
282	3266	8274
283	3274	8256
284	3284	8240
285	3291	8218
286	3301	8203
287	3312	8190
288	3320	8170
289	3332	8159
290	3345	8149
291	3352	8128
292	3366	8123
293	3377	8111
294	3385	8090
295	3396	8078
296	3404	8059
297	3415	8045
298	3426	8032
299	3433	8011
300	3443	7997
301	3453	7981
302	3464	7969
303	3474	7953
304	3482	7936
305	3494	7926
306	3503	7908
307	3516	7900
308	3530	7894
309	3541	7883
310	3550	7866
311	3562	7854
312	3571	7839
313	3589	7842
314	3611	7854
315	3627	7850
316	3641	7845
317	3657	7844
318	3679	7854
319	3691	7843
320	3702	7831
321	3710	7812
322	3722	7802
323	3732	7787
324	3743	7775
325	3753	7760
326	3762	7742
327	3774	7733
328	3787	7724
329	3797	7709
330	3806	7692
331	3815	7677
332	3823	7658
333	3835	7648
334	3842	7628
335	3854	7617
336	3866	7607
337	3874	7589
338	3886	7578
339	3897	7566
340	3905	7546
341	3917	7536
342	3924	7518
343	3937	7509
344	3949	7497
345	3957	7480
346	3969	7469
347	3978	7454
348	3989	7440
349	3999	7428
350	4008	7411
351	4018	7398
352	4030	7387
353	4038	7369
354	4048	7356
355	4055	7336
356	4067	7326
357	4076	7309
358	4085	7294
359	4096	7283
360	4104	7266
361	4116	7254
362	4128	7244
363	4136	7227
364	4146	7214
365	4156	7200
366	4172	7197
367	4184	7185
368	4196	7175
369	4206	7162
370	4219	7153
371	4232	7144
372	4241	7129
373	4250	7115
374	4263	7105
375	4270	7087
376	4282	7077
377	4296	7069
378	4304	7053
379	4316	7042
380	4328	7032
381	4336	7015
382	4349	7007
383	4362	6997
384	4370	6981
385	4380	6968
386	4390	6953
387	4399	6938
388	4411	6928
389	4419	6912
390	4429	6899
391	4438	6884
392	4450	6873
393	4465	6868
394	4476	6856
395	4493	6853
396	4501	6837
397	4511	6823
398	4524	6814
399	4531	6797
400	4542	6784
401	4549	6768
402	4562	6759
403	4574	6748
404	4582	6731
405	4596	6724
406	4608	6714
407	4621	6705
408	4633	6694
409	4646	6686
410	4658	6676
411	4668	6663
412	4677	6648
413	4687	6634
414	4698	6622
415	4710	6613
416	4722	6602
417	4733	6591
418	4747	6582
419	4759	6573
420	4770	6561
421	4781	6549
422	4791	6536
423	4799	6520
424	4808	6505
425	4816	6489
426	4825	6475
427	4836	6464
428	4845	6448
429	4854	6435
430	4863	6420
431	4872	6406
432	4880	6390
433	4889	6376
434	4901	6366
435	4909	6350
436	4920	6339
437	4928	6324
438	4939	6312
439	4948	6298
440	4959	6287
441	4969	6274
442	4977	6258
443	4987	6246
444	4997	6233
445	5006	6218
446	5018	6208
447	5026	6193
448	5036	6180
449	5045	6166
450	5055	6154
451	5068	6144
452	5079	6133
453	5090	6121
454	5101	6110
455	5111	6098
456	5124	6088
457	5134	6076
458	5142	6061
459	5153	6050
460	5163	6037
461	5171	6021
462	5182	6011
463	5189	5995
464	5201	5984
465	5209	5969
466	5219	5957
467	5229	5944
468	5238	5930
469	5249	5919
470	5257	5905
471	5269	5894
472	5279	5882
473	5287	5868
474	5299	5857
475	5306	5842
476	5317	5830
477	5325	5816
478	5335	5803
479	5345	5790
480	5357	5781
481	5370	5771
482	5381	5760
483	5391	5748
484	5402	5736
485	5413	5725
486	5421	5711
487	5432	5700
488	5447	5692
489	5464	5687
490	5480	5681
491	5491	5670
492	5511	5668
493	5520	5654
494	5532	5644
495	5546	5636
496	5554	5621
497	5566	5611
498	5580	5602
499	5587	5587
500	5599	5577
501	5612	5568
502	5623	5556
503	5635	5545
504	5647	5535
505	5659	5524
506	5673	5517
507	5684	5505
508	5696	5494
509	5705	5481
510	5713	5467
511	5722	5454
512	5732	5441
513	5742	5429
514	5751	5415
515	5760	5403
516	5770	5390
517	5780	5378
518	5794	5370
519	5806	5359
520	5814	5345
521	5824	5333
522	5832	5319
523	5842	5306
524	5850	5293
525	5859	5280
526	5867	5266
527	5877	5254
528	5890	5244
529	5904	5236
530	5915	5224
531	5928	5214
532	5943	5207
533	5957	5198
534	5970	5189
535	5979	5176
536	5989	5164
537	6005	5157
538	6014	5143
539	6024	5131
540	6032	5118
541	6044	5107
542	6054	5095
543	6061	5080
544	6071	5068
545	6080	5055
546	6090	5043
547	6097	5029
548	6108	5017
549	6117	5005
550	6126	4992
551	6138	4981
552	6147	4968
553	6159	4958
554	6169	4946
555	6177	4933
556	6191	4924
557	6206	4916
558	6213	4902
559	6226	4892
560	6242	4884
561	6252	4872
562	6264	4862
563	6275	4851
564	6287	4840
565	6295	4827
566	6308	4817
567	6317	4805
568	6328	4793
569	6340	4783
570	6352	4772
571	6361	4759
572	6374	4750
573	6386	4739
574	6427	4750
575	6440	4740
576	6453	4730
577	6461	4717
578	6472	4706
579	6484	4695
580	6492	4682
581	6505	4672
582	6517	4661
583	6525	4648
584	6538	4638
585	6551	4628
586	6559	4615
587	6571	4604
588	6585	4594
589	6598	4585
590	6607	4572
591	6616	4560
592	6625	4547
593	6635	4535
594	6645	4523
595	6653	4509
596	6663	4498
597	6672	4485
598	6684	4474
599	6697	4464
600	6707	4453
601	6718	4441
602	6728	4430
603	6740	4419
604	6756	4411
605	6768	4400
606	6781	4390
607	6789	4377
608	6798	4365
609	6805	4351
610	6817	4340
611	6827	4328
612	6839	4318
613	6849	4306
614	6860	4294
615	6868	4281
616	6878	4269
617	6885	4256
618	6896	4244
619	6904	4231
620	6918	4222
621	6927	4209
622	6938	4198
623	6949	4187
624	6959	4175
625	6967	4162
626	6977	4150
627	6986	4138
628	6996	4126
629	7008	4116
630	7016	4102
631	7027	4091
632	7036	4079
633	7047	4068
634	7058	4057
635	7066	4044
636	7077	4033
637	7086	4020
638	7099	4010
639	7110	3999
640	7117	3986
641	7133	3977
642	7143	3966
643	7151	3953
644	7163	3942
645	7173	3931
646	7182	3918
647	7194	3907
648	7203	3895
649	7212	3883
650	7225	3873
651	7235	3861
652	7244	3849
653	7256	3839
654	7265	3826
655	7275	3815
656	7283	3802
657	7293	3790
658	7304	3779
659	7313	3767
660	7325	3757
661	7337	3746
662	7346	3734
663	7358	3723
664	7365	3710
665	7380	3701
666	7392	3690
667	7405	3680
668	7413	3668
669	7427	3658
670	7441	3648
671	7450	3636
672	7461	3625
673	7475	3615
674	7484	3603
675	7496	3592
676	7509	3582
677	7521	3572
678	7530	3560
679	7541	3549
680	7557	3540
681	7566	3527
682	7574	3515
683	7586	3505
684	7595	3493
685	7605	3481
686	7614	3469
687	7627	3458
688	7641	3449
689	7657	3440
690	7671	3430
691	7685	3420
692	7693	3408
693	7706	3397
694	7717	3386
695	7728	3375
696	7741	3365
697	7753	3354
698	7761	3342
699	7772	3330
700	7779	3318
701	7788	3306
702	7801	3296
703	7814	3285
704	7824	3274
705	7836	3263
706	7852	3254
707	7860	3241
708	7872	3231
709	7885	3220
710	7898	3210
711	7916	3202
712	7931	3192
713	7939	3180
714	7950	3169
715	7958	3156
716	7968	3145
717	7980	3134
718	7990	3122
719	8000	3111
720	8009	3099
721	8020	3088
722	8032	3077
723	8042	3065
724	8053	3054
725	8064	3043
726	8072	3031
727	8082	3019
728	8090	3007
729	8101	2996
730	8110	2984
731	8119	2972
732	8129	2961
733	8139	2949
734	8154	2940
735	8162	2927
736	8174	2916
737	8185	2905
738	8195	2894
739	8204	2882
740	8215	2871
741	8223	2859
742	8232	2847
743	8240	2835
744	8251	2824
745	8262	2813
746	8269	2800
747	8280	2789
748	8288	2777
749	8299	2766
750	8310	2755
751	8319	2743
752	8335	2734
753	8346	2723
754	8355	2711
755	8368	2701
756	8380	2690
757	8389	2678
758	8400	2667
759	8411	2656
760	8424	2645
761	8437	2635
762	8448	2624
763	8460	2613
764	8470	2601
765	8481	2590
766	8496	2581
767	8505	2569
768	8514	2557
769	8525	2546
770	8533	2534
771	8542	2522
772	8554	2512
773	8563	2500
774	8574	2489
775	8583	2477
776	8594	2466
777	8605	2455
778	8614	2443
779	8624	2432
780	8634	2421
781	8644	2409
782	8657	2399
783	8667	2387
784	8678	2376
785	8692	2366
786	8701	2355
787	8714	2344
788	8725	2333
789	8734	2321
790	8747	2311
791	8760	2300
792	8769	2289
793	8779	2277
794	8794	2267
795	8813	2258
796	8831	2249
797	8841	2238
798	8854	2227
799	8865	2216
800	8876	2205
801	8886	2194
802	8896	2182
803	8910	2172
804	8929	2163
805	8945	2153
806	8962	2143
807	8972	2132
808	8985	2121
809	8995	2110
810	9009	2099
811	9021	2088
812	9032	2077
813	9042	2066
814	9053	2055
815	9060	2043
816	9070	2031
817	9079	2020
818	9090	2009
819	9099	1997
820	9109	1986
821	9119	1974
822	9126	1962
823	9138	1951
824	9145	1939
825	9156	1928
826	9167	1917
827	9177	1906
828	9189	1895
829	9203	1884
830	9214	1873
831	9227	1863
832	9239	1852
833	9251	1841
834	9262	1830
835	9273	1819
836	9288	1808
837	9301	1798
838	9315	1787
839	9325	1776
840	9336	1765
841	9345	1753
842	9356	1742
843	9368	1731
844	9380	1720
845	9390	1709
846	9402	1698
847	9416	1687
848	9426	1676
849	9439	1665
850	9453	1655
851	9472	1645
852	9485	1634
853	9497	1623
854	9515	1613
855	9526	1602
856	9536	1591
857	9551	1580
858	9564	1569
859	9579	1559
860	9589	1548
861	9603	1537
862	9615	1526
863	9626	1515
864	9639	1504
865	9652	1493
866	9665	1482
867	9678	1471
868	9692	1461
869	9703	1449
870	9718	1439
871	9733	1428
872	9747	1418
873	9755	1406
874	9765	1395
875	9777	1384
876	9788	1372
877	9799	1361
878	9809	1350
879	9822	1339
880	9833	1328
881	9844	1317
882	9852	1305
883	9862	1294
884	9870	1282
885	9881	1271
886	9891	1260
887	9900	1248
888	9910	1237
889	9918	1225
890	9929	1214
891	9939	1203
892	9950	1192
893	9965	1181
894	9976	1170
895	9984	1158
896	9995	1147
897	10002	1136
898	10012	1124
899	10024	1113
900	10033	1102
901	10045	1091
902	10056	1080
903	10063	1068
904	10073	1057
905	10081	1045
906	10096	1035
907	10105	1023
908	10116	1012
909	10127	1001
910	10139	990
911	10147	979
912	10158	967
913	10167	956
914	10178	945
915	10188	934
916	10196	922
917	10207	911
918	10215	900
919	10226	889
920	10236	878
921	10245	866
922	10256	855
923	10266	844
924	10275	833
925	10284	821
926	10293	810
927	10303	799
928	10311	788
929	10320	776
930	10328	765
931	10340	754
932	10348	743
933	10357	731
934	10364	720
935	10375	709
936	10383	698
937	10393	686
938	10406	676
939	10415	664
940	10425	653
941	10436	642
942	10444	631
943	10454	620
944	10463	608
945	10473	597
946	10484	586
947	10491	575
948	10501	564
949	10511	553
950	10521	542
951	10529	530
952	10540	519
953	10552	508
954	10560	497
955	10572	486
956	10582	475
957	10599	464
958	10610	453
959	10621	442
960	10630	431
961	10639	420
962	10651	409
963	10661	398
964	10673	387
965	10687	376
966	10699	365
967	10710	354
968	10720	342
969	10729	331
970	10738	320
971	10748	309
972	10756	298
973	10766	287
974	10774	276
975	10786	265
976	10797	254
977	10807	243
978	10819	232
979	10831	221
980	10847	210
981	10858	199
982	10873	188
983	10886	177
984	10899	165
985	10907	154
986	10919	143
987	10936	132
988	10946	121
989	10956	110
990	10968	99
991	10982	88
992	10990	77
993	11003	66
994	11018	55
995	11032	44
996	11044	33
997	11055	22
998	11067	11
999	11081	0
